[ 16-06-2021 13:09:37 ] - Teste
[ 16-06-2021 13:09:38 ] - Teste
[ 16-06-2021 13:13:48 ] - Login efetuado pelo usuário DPOATJ1\l.esantos
[ 16-06-2021 13:13:48 ] - Teste
[ 16-06-2021 13:15:41 ] - Teste IP: 172.19.0.1
[ 16-06-2021 13:15:58 ] - Teste | IP: 172.19.0.1
[ 16-06-2021 21:57:53 ] - Ticket 245922 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:53 ] - Ticket 245932 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:53 ] - Ticket 245931 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:53 ] - Ticket 246082 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:53 ] - Ticket 247391 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket 247401 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket 247523 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket 247602 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket 247663 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket 247782 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:54 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:55 ] - Ticket  finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:34 ] - Ticket 242851 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:34 ] - Ticket 243143 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:35 ] - Ticket 241417 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:35 ] - Ticket 238974 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:35 ] - Ticket 238902 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:35 ] - Ticket 243912 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:36 ] - Ticket 244643 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:37 ] - Ticket 244732 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:37 ] - Ticket 88932 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:37 ] - Ticket 245883 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:37 ] - Ticket 245892 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:38 ] - Ticket 245922 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:38 ] - Ticket 245932 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:58:38 ] - Ticket 245931 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
